"Country or Area","Year","Area","Sex","Age","Cause of death (WHO)","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Brazil","2017","Total","Female","5 - 9","Diabetes mellitus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","11",""
"Brazil","2017","Total","Female","5 - 9","Malnutrition, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","10",""
"Brazil","2017","Total","Female","5 - 9","Mental and behavioural disorders, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","5 - 9","Diseases of the nervous system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","163",""
"Brazil","2017","Total","Female","5 - 9","Diseases of the circulatory system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","67",""
"Brazil","2017","Total","Female","5 - 9","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","5 - 9","Hypertensive diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","5 - 9","Ischaemic heart diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","5 - 9","Cerebrovascular diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","20",""
"Brazil","2017","Total","Female","5 - 9","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","5 - 9","Diseases of the respiratory  system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","126",""
"Brazil","2017","Total","Female","5 - 9","Influenza, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","4",""
"Brazil","2017","Total","Female","5 - 9","Pneumonia, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","71",""
"Brazil","2017","Total","Female","5 - 9","Chronic lower respiratory diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","11",""
"Brazil","2017","Total","Female","5 - 9","Diseases of the digestive system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","40",""
"Brazil","2017","Total","Female","5 - 9","Gastric and duodenal ulcer, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Diseases of the liver, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","13",""
"Brazil","2017","Total","Female","5 - 9","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","11",""
"Brazil","2017","Total","Female","5 - 9","Diseases of the genitourinary system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","34",""
"Brazil","2017","Total","Female","5 - 9","Disorders of kidney and ureter, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","24",""
"Brazil","2017","Total","Female","5 - 9","Pregnancy, childbirth and the puerperium, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Pregnancy with abortive outcome, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Other direct obstetric causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Indirect obstetric causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","5",""
"Brazil","2017","Total","Female","5 - 9","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","124",""
"Brazil","2017","Total","Female","5 - 9","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","79",""
"Brazil","2017","Total","Female","5 - 9","All other diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","8",""
"Brazil","2017","Total","Female","5 - 9","External causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","286",""
"Brazil","2017","Total","Female","5 - 9","Accidents, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","236",""
"Brazil","2017","Total","Female","5 - 9","Transport accidents, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","122",""
"Brazil","2017","Total","Female","5 - 9","Falls, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","9",""
"Brazil","2017","Total","Female","5 - 9","Accidental drowning and submersion, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","48",""
"Brazil","2017","Total","Female","5 - 9","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","7",""
"Brazil","2017","Total","Female","5 - 9","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","5 - 9","Intentional self-harm, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","5 - 9","Assault, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","35",""
"Brazil","2017","Total","Female","5 - 9","All other external causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","13",""
"Brazil","2017","Total","Female","5 - 9","All causes, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1363",""
"Brazil","2017","Total","Female","10 - 14","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","85",""
"Brazil","2017","Total","Female","10 - 14","Intestinal infectious diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","14",""
"Brazil","2017","Total","Female","10 - 14","Tuberculosis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","7",""
"Brazil","2017","Total","Female","10 - 14","Tetanus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","10 - 14","Diphtheria, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","10 - 14","Whooping cough, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","10 - 14","Meningococcal infection, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","6",""
"Brazil","2017","Total","Female","10 - 14","Septicaemia, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","25",""
"Brazil","2017","Total","Female","10 - 14","Acute poliomyelitis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","10 - 14","Measles, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","10 - 14","Viral hepatitis, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","10 - 14","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","5",""
"Brazil","2017","Total","Female","10 - 14","Malaria, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","10 - 14","Neoplasms, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","246",""
"Brazil","2017","Total","Female","10 - 14","Malignant neoplasms, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","241",""
"Brazil","2017","Total","Female","10 - 14","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","10 - 14","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","10 - 14","Malignant neoplasm of stomach, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","10 - 14","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","1",""
"Brazil","2017","Total","Female","10 - 14","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","4",""
"Brazil","2017","Total","Female","10 - 14","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","10 - 14","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","3",""
"Brazil","2017","Total","Female","10 - 14","Malignant neoplasm of female breast, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","10 - 14","Malignant neoplasm of cervix uteri, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","0",""
"Brazil","2017","Total","Female","10 - 14","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","93",""
"Brazil","2017","Total","Female","10 - 14","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","49",""
"Brazil","2017","Total","Female","10 - 14","Anaemias, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","37",""
"Brazil","2017","Total","Female","10 - 14","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","60",""
"Brazil","2017","Total","Female","10 - 14","Diabetes mellitus, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","20",""
"Brazil","2017","Total","Female","10 - 14","Malnutrition, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","14",""
"Brazil","2017","Total","Female","10 - 14","Mental and behavioural disorders, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","2",""
"Brazil","2017","Total","Female","10 - 14","Diseases of the nervous system, ICD10","Data tabulated by year of occurrence","Final figure, complete","2020","226",""
